,videoID,title,views,likes,favorites,comments,country,city,positive
108,MjXYgZ-rtu0,Which Country Do You HATE The Most? | CZECH REPUBLIC,347743,6001,0,3103,Czech Republic,,False
109,ZHBO3qert8o,Which Country Do You HATE The Most? | UKRAINE,1487262,26575,0,10015,Ukraine,,False
110,4_gMRrzNKhw,Which Country Do You HATE The Most? | SERBIA,2412809,38627,0,15923,Serbia,,False
111,3p9uH9b1Qw4,Which Country Do You HATE The Most? | ESTONIA,406468,6715,0,2534,Estonia,,False
112,TiW8selE8wM,Which Country Do You HATE The Most? | CROATIA,1539225,22565,0,5864,Croatia,,False
113,2loIfZ3vVeI,Which Country Do You HATE The Most? | LIBYA,394967,9533,0,3681,Libya,,False
114,EomVFuND-GE,Which Country Do You HATE The Most? | FINLAND,1866787,28871,0,10154,Finland,,False
115,xS5IeSbDJpg,Which Country Do You HATE The Most? | HOLLAND,438978,7707,0,3530,Holland,,False
116,nGUWaMGjJpU,Which Country Do You HATE The Most? | SPAIN,671746,11130,0,6312,Spain,,False
117,0CvhXZ72g68,Which Country Do You HATE The Most? | ROMANIA,1303438,26074,0,8998,Romania,,False
118,Y5kXe_LPQR0,Which Country Do You HATE The Most? | BULGARIA,861142,14934,0,6933,Bulgaria,,False
119,o-AKh5FrBTk,Which Country Do You HATE The Most? | LATVIA,410280,8383,0,2701,Latvia,,False
120,IRFh7RFYjg8,Which Country Do You HATE The Most? | GREECE,1729413,34808,0,16860,Greece,,False
121,ObAW7LkSNiY,Which Country Do You HATE The Most? | KOSOVO,736385,12485,0,20718,Kosovo,,False
122,eDg9pGRWtwY,Which Country Do You HATE The Most? | ALBANIA,912516,14855,0,12624,Albania,,False
123,rC_KfsLzBVU,Which Country Do You HATE The Most? | AUSTRIA,1242302,21674,0,7211,Austria,,False
124,4Aw-di_70SU,Which Country Do You Hate The Most? | RUSSIA,1574516,30004,0,17263,Russia,,False
125,-71lIr6WF9Y,Which Country Do You HATE The Most? | RWANDA,129764,2974,0,1275,Rwanda,,False
126,cRG8pEuhDG0,Which Country Do You HATE The Most? | TANZANIA,187260,2787,0,2296,Tanzania,,False
127,6Ib-9gkl6ZM,"Which Country Do You HATE The Most? | Munich, Germany",502504,10586,0,3548,Germany,Munich,False
128,Xxhi5LQZXBE,Which Country Do You HATE The Most?  | BELGIUM,321803,5627,0,2483,Belgium,,False
129,40UHGVPHLBo,Which Country Do You HATE The Most? | NORTH MACEDONIA,740254,11036,0,8948,North Macedonia,,False
